City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,nuuk,64.1835,-51.7216,-0.66,100,100,4.63,GL,1699493788
169,rio grande,-32.035,-52.0986,18.3,94,87,3.32,BR,1699493718
170,whitehorse,60.7161,-135.0538,4.43,70,100,9.26,CA,1699493517
171,mukalla,14.5425,49.1242,25.71,51,11,1.16,YE,1699493789
172,sitka,57.0531,-135.33,10.94,71,100,8.75,US,1699493201
173,montijo,38.7067,-8.9739,18.68,95,100,4.12,PT,1699493790
174,kodiak,57.79,-152.4072,3.73,87,40,5.66,US,1699493790
175,alaghsas,17.0187,8.0168,23.21,16,59,5.07,NE,1699493791
176,port saint john's,-31.6229,29.5448,18.2,87,100,2.37,ZA,1699493791
177,chonchi,-42.6128,-73.8092,9.56,95,99,1.11,CL,1699493791
178,verkhnevilyuysk,63.4453,120.3167,-18.12,94,98,2.02,RU,1699493792
179,akureyri,65.6835,-18.0878,3.96,75,100,3.6,IS,1699493792
180,san juan,-31.5375,-68.5364,21.71,17,0,4.18,AR,1699493793
181,ambon,-3.6954,128.1814,27.08,89,40,2.57,ID,1699493632
182,salalah,17.0151,54.0924,27.05,29,0,4.12,OM,1699493793
183,emporia,38.4039,-96.1817,16.11,48,75,3.09,US,1699493794
184,deniliquin,-35.5333,144.9667,29.89,28,79,3.08,AU,1699493795
185,alakurtti,66.9672,30.3491,-6.66,97,100,0.58,RU,1699493795
186,sinabang,2.4803,96.3801,26.55,80,100,1.0,ID,1699493796
187,east london,-33.0153,27.9116,15.96,80,0,2.9,ZA,1699493796
188,san ignacio,17.1561,-89.0714,24.08,94,20,0.0,BZ,1699493796
189,newman,37.3138,-121.0208,17.19,50,0,1.68,US,1699493797
190,banda aceh,5.5577,95.3222,27.76,77,97,2.23,ID,1699493797
191,ola,59.5833,151.2833,-14.55,71,7,4.52,RU,1699493797
192,antofagasta,-23.65,-70.4,17.6,78,55,1.63,CL,1699493798
193,huarmey,-10.0681,-78.1522,19.1,84,16,3.8,PE,1699493798
194,sao joao da barra,-21.6403,-41.0511,22.31,77,0,6.16,BR,1699493798
195,kiruna,67.8557,20.2251,-3.49,93,100,1.54,SE,1699493799
196,polyarnyy,69.1989,33.4478,-6.93,92,90,1.96,RU,1699493799
197,kulhudhuffushi,6.6221,73.07,26.89,78,100,1.23,MV,1699493799
198,hamilton,39.1834,-84.5333,23.76,59,0,4.63,US,1699493669
199,inderbor,48.55,51.7833,7.83,82,81,2.89,KZ,1699493800
200,enewetak,11.3474,162.3373,28.49,74,83,9.44,MH,1699493800
201,acapulco de juarez,16.8634,-99.8901,27.5,83,4,3.36,MX,1699493708
202,quelimane,-17.8786,36.8883,26.97,89,75,2.06,MZ,1699493801
203,eyl,7.9803,49.8164,24.95,80,77,5.03,SO,1699493802
204,susuman,62.7833,148.1667,-26.44,97,92,0.99,RU,1699493206
205,choma,-16.8065,26.9531,19.5,78,4,1.42,ZM,1699493802
206,tolanaro,-25.0319,46.9987,21.41,94,100,2.29,MG,1699493803
207,puerto deseado,-47.7503,-65.8938,8.06,65,17,6.36,AR,1699493803
208,crieff,56.3727,-3.8389,5.08,97,53,1.52,GB,1699493803
209,pisco,-13.7,-76.2167,19.03,82,0,6.17,PE,1699493804
210,makhambet,47.6667,51.5833,7.69,82,68,2.08,KZ,1699493804
211,vilyuchinsk,52.9306,158.4028,1.15,59,5,5.14,RU,1699493804
212,athens,37.9795,23.7162,20.37,80,20,1.03,GR,1699493598
213,patnanungan,14.7833,122.1833,27.73,83,100,5.6,PH,1699493805
214,lompoc,34.6391,-120.4579,17.08,68,0,11.18,US,1699493806
215,iranshahr,27.2025,60.6848,21.32,40,2,2.32,IR,1699493806
216,nueva gerona,21.8833,-82.8,25.84,80,33,7.11,CU,1699493806
217,petrovka,53.0503,103.1,-13.12,85,40,2.95,RU,1699493807
218,cabo san lucas,22.8909,-109.9124,27.51,77,100,2.06,MX,1699493428
219,nisa,43.7031,7.2661,13.01,70,0,5.14,FR,1699493808
220,burayevo,55.8407,55.4083,2.66,96,62,2.47,RU,1699493808
221,at taj,24.2049,23.2857,19.09,43,0,4.42,LY,1699493809
222,ocana,8.2377,-73.356,18.8,92,42,2.27,CO,1699493809
223,papatowai,-46.5619,169.4708,11.57,54,39,5.05,NZ,1699493809
224,kosh-agach,50.0,88.6667,-13.72,97,99,1.34,RU,1699493810
225,gore,-46.1028,168.9436,14.21,43,65,2.5,NZ,1699493810
226,tyukhtet,56.5389,89.3011,-12.09,83,5,4.06,RU,1699493810
227,nago,26.5881,127.9761,28.47,82,100,4.37,JP,1699493811
228,jiuquan,39.7432,98.5174,1.46,36,5,1.88,CN,1699493811
229,necochea,-38.5473,-58.7368,10.68,74,0,4.58,AR,1699493811
230,santiago de cao,-7.9589,-79.2392,19.07,88,75,4.63,PE,1699493812
231,lluta,-16.0147,-72.0142,13.18,65,100,1.96,PE,1699493812
232,topchikha,52.8192,83.1185,-7.25,97,22,1.82,RU,1699493812
233,shingu,33.7333,135.9833,20.24,78,100,1.81,JP,1699493813
234,xilitla,21.3333,-98.9667,20.28,96,38,1.12,MX,1699493813
235,sunzha,43.3211,45.0522,9.16,68,95,2.24,RU,1699493813
236,macusani,-14.0833,-70.4333,4.6,82,100,2.54,PE,1699493813
237,orkney,-26.9802,26.6727,17.96,47,0,2.3,ZA,1699493814
238,vorkuta,67.5,64.0,-0.97,99,100,1.98,RU,1699493814
239,mejit,10.2753,170.8646,27.88,84,91,10.32,MH,1699493224
240,granville,-33.8333,151.0167,30.56,53,0,7.72,AU,1699493815
241,acarau,-2.8856,-40.12,26.51,83,26,8.01,BR,1699493815
242,namtsy,62.7161,129.6658,-24.93,94,73,0.65,RU,1699493815
243,pong nam ron,12.9058,102.2623,25.76,88,90,1.05,TH,1699493816
244,anadyr,64.75,177.4833,-3.72,79,100,9.0,RU,1699493816
245,dudinka,69.4058,86.1778,-6.32,92,100,12.96,RU,1699493816
246,vadso,70.0744,29.7487,-2.51,74,100,3.6,NO,1699493816
247,drayton valley,53.2168,-114.9854,-0.25,69,15,1.58,CA,1699493817
248,solapur,17.6833,75.9167,23.58,78,100,3.29,IN,1699493817
249,puerto baquerizo moreno,-0.9,-89.6,24.56,82,100,6.08,EC,1699493817
250,lodja,-3.4833,23.4333,20.85,99,100,1.06,CD,1699493818
251,marsh harbour,26.5412,-77.0636,25.16,72,19,6.31,BS,1699493818
252,kapa'a,22.0752,-159.319,27.99,77,40,4.63,US,1699493818
253,port alfred,-33.5906,26.891,13.99,92,28,4.52,ZA,1699493819
254,garachico,28.7781,-17.7646,20.06,60,75,5.66,ES,1699493819
255,richards bay,-28.783,32.0377,18.84,80,100,0.93,ZA,1699493560
256,mariehamn,60.0973,19.9348,4.9,93,100,4.12,AX,1699493819
257,tongliao,43.6125,122.2653,-5.19,70,69,6.37,CN,1699493820
258,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699493820
259,alice springs,-23.7,133.8833,28.75,32,99,4.63,AU,1699493820
260,fort bragg,35.139,-79.006,19.9,72,0,2.06,US,1699493223
261,syzran',53.1585,48.4681,5.39,93,100,1.66,RU,1699493821
262,levokumskoye,44.8219,44.6606,9.13,88,100,3.21,RU,1699493821
263,saint croix,17.7397,-64.7388,27.25,85,40,2.06,VI,1699493822
264,magistral'nyy,56.1725,107.4458,-10.35,87,100,3.23,RU,1699493822
265,mount pearl,47.5166,-52.7813,6.75,99,100,2.06,CA,1699493728
266,kotovsk,47.7531,29.532,8.04,82,100,4.4,UA,1699493823
267,saint-joseph,-21.3667,55.6167,21.21,81,1,2.94,RE,1699493823
268,sauri,11.7266,6.7837,23.05,21,72,2.47,NG,1699493823
269,mansa,29.9833,75.3833,20.43,40,0,0.62,IN,1699493824
270,kailua-kona,19.6406,-155.9956,29.17,75,40,3.6,US,1699493587
271,lahat,-3.8,103.5333,31.18,50,99,1.2,ID,1699493825
272,haiku-pauwela,20.9219,-156.3051,29.01,59,40,5.14,US,1699493607
273,south hedland,-20.4089,118.5983,31.96,58,0,3.6,AU,1699493825
274,manaure,11.7751,-72.4445,28.52,82,92,6.5,CO,1699493826
275,brandon,27.9378,-82.2859,23.92,77,0,2.24,US,1699493826
276,khovd,48.0056,91.6419,-4.89,62,55,0.56,MN,1699493826
277,coquimbo,-29.9533,-71.3436,15.85,82,0,1.03,CL,1699493557
278,pemangkat,1.1667,108.9667,26.15,84,100,1.91,ID,1699493827
279,saudarkrokur,65.7461,-19.6394,0.25,88,14,2.17,IS,1699493828
280,zhanibek,49.4167,46.85,8.53,72,100,4.36,KZ,1699493828
281,sorong,-0.8833,131.25,28.74,70,100,2.63,ID,1699493829
282,pitimbu,-7.4706,-34.8086,25.33,77,44,5.17,BR,1699493829
283,oppdal,62.5943,9.6912,-3.3,89,76,5.68,NO,1699493829
284,namibe,-15.1961,12.1522,18.37,88,0,1.47,AO,1699493690
285,tianpeng,30.9866,103.9393,17.89,60,0,0.4,CN,1699493830
286,klyuchi,52.2667,79.1667,-0.13,54,19,3.61,RU,1699493831
287,egilsstadir,65.2653,-14.3948,2.95,87,75,5.66,IS,1699493831
288,queenstown,-31.8976,26.8753,13.2,83,90,1.15,ZA,1699493832
289,luderitz,-26.6481,15.1594,17.23,53,0,7.71,NA,1699493832
290,al burayqah,30.4062,19.5739,21.91,68,100,2.87,LY,1699493832
291,borogontsy,62.6683,131.1683,-24.39,95,94,0.1,RU,1699493833
292,manakara,-22.1333,48.0167,21.47,94,95,2.56,MG,1699493833
293,togur,58.3631,82.8265,-4.36,94,99,4.02,RU,1699493834
294,sur,22.5667,59.5289,25.49,70,0,0.47,OM,1699493834
295,papao,-17.75,-149.55,27.82,87,83,10.85,PF,1699493834
296,sinop,41.7711,34.8709,14.36,58,100,2.55,TR,1699493835
297,montmorillon,46.4167,0.6667,9.94,94,100,6.26,FR,1699493835
298,kingston,17.997,-76.7936,28.53,84,20,3.6,JM,1699493754
299,amga,60.8953,131.9608,-22.11,93,68,0.52,RU,1699493836
300,trairi,-3.2778,-39.2689,26.77,78,64,6.47,BR,1699493126
301,katsuura,35.1333,140.3,19.43,56,98,3.14,JP,1699493837
302,thomson,33.4707,-82.5046,20.79,77,0,0.0,US,1699493633
303,huanan,46.2167,130.5167,-5.45,92,100,1.39,CN,1699493838
304,griffith,41.5284,-87.4237,13.6,86,100,7.72,US,1699493838
305,montepuez,-13.1256,38.9997,20.84,89,21,1.07,MZ,1699493839
306,margaret river,-33.95,115.0667,15.12,66,100,7.01,AU,1699493840
307,el salto,20.3333,-104.5,17.93,92,94,1.44,MX,1699493840
308,basco,20.4487,121.9702,27.19,82,67,8.82,PH,1699493840
309,livramento do brumado,-13.6431,-41.8406,23.03,75,2,1.67,BR,1699493841
310,horta,38.5333,-28.6333,19.45,97,100,6.71,PT,1699493841
311,rahachow,53.0934,30.0495,5.56,93,100,2.75,BY,1699493841
312,fayzabad,37.1166,70.58,7.75,98,100,1.77,AF,1699493842
313,okahao,-17.885,15.0667,19.87,33,9,3.23,NA,1699493842
314,myeik,12.4333,98.6,26.89,83,44,2.03,MM,1699493843
315,praia da vitoria,38.7333,-27.0667,18.75,100,75,3.04,PT,1699493843
316,thongwa,16.7619,96.5278,27.09,75,50,0.31,MM,1699493843
317,maragogi,-9.0122,-35.2225,25.34,77,100,4.43,BR,1699493844
318,shadrinsk,56.0852,63.6335,1.38,93,100,2.27,RU,1699493844
319,callao,-12.0667,-77.15,20.95,82,75,3.6,PE,1699493845
320,tromso,69.6496,18.957,-2.99,80,15,1.54,NO,1699493701
321,christchurch,-43.5333,172.6333,16.06,56,75,5.66,NZ,1699493845
322,jiaojiang,28.6803,121.4428,21.11,73,100,1.22,CN,1699493846
323,garissa,-0.4536,39.6401,23.81,83,94,2.94,KE,1699493847
324,ohara,35.25,140.3833,19.22,56,100,2.96,JP,1699493847
325,nizhnyaya tavda,57.6731,66.1725,-1.05,86,100,2.07,RU,1699493847
326,siocon,7.7061,122.1353,29.8,70,100,1.02,PH,1699493847
327,kapit,2.0167,112.9333,26.54,84,100,0.93,MY,1699493848
328,takoradi,4.8845,-1.7554,25.88,86,100,3.11,GH,1699493848
329,carnarvon,-24.8667,113.6333,23.31,62,1,8.16,AU,1699493849
330,tostado,-29.232,-61.7692,23.32,66,0,5.4,AR,1699493849
331,kuraymah,18.55,31.85,25.85,46,48,4.42,SD,1699493850
332,bedford,52.1346,-0.4663,6.61,93,100,4.49,GB,1699493851
333,kone,-21.0595,164.8658,25.07,54,83,4.19,NC,1699493851
334,johvi,59.3592,27.4211,5.78,95,100,3.23,EE,1699493852
335,suva,-18.1416,178.4415,24.71,94,75,2.57,FJ,1699493852
336,kruisfontein,-34.0033,24.7314,11.19,80,0,2.66,ZA,1699493853
337,lamarque,-39.423,-65.7021,18.05,19,0,3.72,AR,1699493853
338,tralee,52.2704,-9.7026,8.09,76,91,9.75,IE,1699493854
339,zhongshu,24.5167,103.7667,15.6,86,98,2.92,CN,1699493855
340,palmer,42.1584,-72.3287,3.47,54,75,1.54,US,1699493855
341,fougamou,-1.2154,10.5838,23.7,99,100,0.15,GA,1699493855
342,botevgrad,42.9,23.7833,7.52,89,41,1.41,BG,1699493856
343,salekhard,66.53,66.6019,-1.64,96,100,2.17,RU,1699493856
344,jalai nur,49.45,117.7,-10.51,78,94,3.94,CN,1699493857
345,khandyga,62.6667,135.6,-27.4,95,40,0.57,RU,1699493857
346,san patricio,28.017,-97.5169,25.97,81,26,5.22,US,1699493858
347,kenora,49.8167,-94.4337,0.54,86,100,5.66,CA,1699493716
348,ban dan lan hoi,17.0068,99.575,26.81,86,73,0.69,TH,1699493859
349,hasaki,35.7333,140.8333,18.22,53,32,2.42,JP,1699493859
350,burao,9.5221,45.5336,20.33,60,5,2.98,SO,1699493860
351,jaguarao,-32.5661,-53.3758,16.36,91,100,4.43,BR,1699493010
352,isafjordur,66.0755,-23.124,3.86,84,88,8.34,IS,1699493860
353,mili,6.0815,171.735,27.2,85,100,7.6,MH,1699493862
354,ecoporanga,-18.3733,-40.8306,18.37,86,0,0.66,BR,1699493862
355,qarazhal,48.0078,70.7903,7.48,94,100,7.17,KZ,1699493863
356,mogocha,53.7333,119.7667,-10.91,71,99,2.94,RU,1699493266
357,bereznik,62.8551,42.7072,0.3,93,100,3.29,RU,1699493863
358,port mathurin,-19.6833,63.4167,24.95,72,4,7.99,MU,1699493864
359,isola di capo rizzuto,38.96,17.0933,12.32,67,1,3.69,IT,1699493864
360,gadzhiyevo,69.2551,33.3362,-6.54,92,96,1.8,RU,1699493865
361,hithadhoo,-0.6,73.0833,27.24,82,73,5.6,MV,1699493865
362,paraty,-23.2178,-44.7131,22.68,71,7,1.84,BR,1699493807
